ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.412,17,6,1,6,0,.588,24.9,.647,10,0,20110427,130,11,26,2,1.9,MEM,9,9.1,.857,23.4,7,2648.0,0.0,.588,2,13.9,0,.000,5.3,1,3,Zach Randolph,111,0,0,21.6,9.2,-2
.100,20,5,1,2,2,.450,20.8,.479,9,.000,20110427,105,5,20,1,2.0,MEM,4,4.6,1.000,24.0,2,2563.0,2.4,.450,1,6.5,0,.100,2.8,1,4,Mike Conley,108,0,2,9.9,1.7,+2
.071,14,1,1,1,1,.357,3.7,.381,5,0,20110427,69,17,11,2,2.0,MEM,15,21.7,1.000,20.7,1,2504.0,1.2,.357,4,22.7,0,.000,5.6,1,5,Marc Gasol,104,0,0,38.1,-7.8,-4
.250,12,0,1,3,2,.583,0.0,.676,7,.500,20110427,131,6,18,2,2.6,MEM,4,7.0,1.000,20.8,3,1938.0,3.2,.625,1,10.4,1,.167,7.3,1,2,Sam Young,105,0,2,13.1,8.4,+11
.667,6,0,1,3,4,.333,0.0,.451,2,.000,20110427,67,2,7,0,0.0,MEM,2,27.9,.750,21.1,4,1431.0,8.7,.333,3,4.7,0,.167,0.0,0,1,Tony Allen,97,0,1,8.9,-1.9,-7
.400,5,2,0,1,0,.400,8.2,.510,2,.250,20110427,103,4,6,1,0.0,MEM,3,14.5,.500,9.5,2,2038.0,0.0,.500,1,6.6,1,.800,3.5,0,4,Shane Battier,115,0,4,9.4,-3.7,-4
.500,4,1,0,2,2,.750,8.0,.922,3,1.000,20110427,130,2,9,1,0.0,MEM,1,29.1,1.000,16.2,2,1197.0,5.2,.875,2,5.6,1,.250,5.9,0,5,O.J. Mayo,105,0,1,5.3,5.2,-12
.000,7,1,0,0,1,.286,9.6,.286,2,0,20110427,65,3,4,1,5.2,MEM,2,12.5,0,23.3,0,965.0,3.2,.286,1,10.4,0,.000,7.3,1,3,Darrell Arthur,103,0,0,13.2,-7.6,-10
1.000,2,3,0,0,0,.500,43.1,.347,1,0,20110427,78,0,2,0,0.0,MEM,0,25.8,.000,17.7,2,617.0,0.0,.500,1,0.0,0,.000,0.0,0,1,Greivis Vásquez,117,0,0,0.0,-7.2,-9
0,0,0,0,0,0,0,0.0,0,0,0,20110427,0,0,0,0,0.0,MEM,0,0,0,0.0,0,1.0,0.0,0,0,0.0,0,0,0.0,0,0,Hamed Haddadi,118,0,0,0.0,-5.9,0
0,0,0,0,0,0,0,0,0,0,0,20110427,0,0,0,0,0,MEM,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Leon Powe,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20110427,0,0,0,0,0,MEM,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Ish Smith,0,0,0,0,0,0
.450,20,9,1,6,1,.450,38.7,.501,9,.000,20110427,112,2,24,0,1.6,SAS,2,4.0,.667,26.4,9,2632.0,1.2,.450,1,2.5,0,.100,0.0,1,4,Tony Parker,104,0,2,5.4,3.4,-5
.556,18,6,1,9,4,.556,28.8,.737,10,.444,20110427,120,6,33,1,0.0,SAS,5,21.1,.900,31.5,10,2513.0,5.0,.667,6,8.0,4,.500,2.5,0,4,Manu Ginóbili,96,0,9,14.1,13.6,+10
.308,13,3,1,3,1,.385,12.4,.440,5,0,20110427,89,12,13,3,1.7,SAS,9,16.9,.750,20.7,4,2387.0,1.3,.385,3,16.8,0,.000,8.0,1,0,Tim Duncan,99,0,0,26.6,-0.4,+4
.143,7,1,1,1,1,.286,4.5,.403,2,.250,20110427,84,5,6,1,0.0,SAS,4,11.8,1.000,11.9,1,1976.0,1.6,.357,1,8.5,1,.571,3.2,0,3,Richard Jefferson,103,0,4,14.3,-3.9,0
.000,6,1,1,0,1,.333,4.7,.333,2,0,20110427,75,8,4,3,2.2,SAS,5,25.0,0,11.8,0,1895.0,1.6,.333,2,14.1,0,.000,10.1,1,3,Antonio McDyess,99,0,0,18.6,-4.4,+11
.857,7,2,0,6,0,.429,10.3,.622,3,.000,20110427,115,5,12,1,0.0,SAS,4,17.2,1.000,17.8,6,1823.0,0.0,.429,2,9.2,0,.143,3.5,0,1,George Hill,106,0,1,15.5,-0.8,+8
.000,6,0,0,0,0,.333,0.0,.417,2,.250,20110427,84,3,5,0,0.0,SAS,3,0.0,0,14.3,0,1170.0,0.0,.417,0,8.6,1,.667,0.0,0,1,Matt Bonner,105,0,4,18.1,-4.7,0
.667,3,1,0,0,1,1.000,12.6,.773,3,0,20110427,146,3,6,0,4.6,SAS,3,0.0,.000,12.1,2,891.0,3.5,1.000,0,11.3,0,.000,0.0,1,0,Tiago Splitter,93,0,0,23.8,14.3,+1
.000,5,0,0,0,0,.600,0.0,.700,3,.500,20110427,135,1,7,1,0.0,SAS,0,0.0,0,22.7,0,613.0,0.0,.700,0,5.5,1,.400,10.4,0,2,Gary Neal,109,0,2,0.0,5.8,+6
0,0,0,0,0,0,0,0,0,0,0,20110427,0,0,0,0,0,SAS,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,DeJuan Blair,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20110427,0,0,0,0,0,SAS,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Danny Green,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20110427,0,0,0,0,0,SAS,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Steve Novak,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20110427,0,0,0,0,0,MEM,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Rudy Gay,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20110427,0,0,0,0,0,MEM,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Xavier Henry,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20110427,0,0,0,0,0,SAS,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,James Anderson,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20110427,0,0,0,0,0,SAS,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Da'Sean Butler,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20110427,0,0,0,0,0,SAS,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Chris Quinn,0,1,0,0,0,0
