trb_pct,orb_pct,usg_pct,fg_pct,pf,ast,pm,efg_pct,pts,trb,team_abbr,ts_pct,orb,fga,tov_pct,drtg,tov,ft,inactive,ortg,starter,ftr,blk_pct,player_name,drb_pct,threep_pct,bpm,threepar,threepa,date,fg,ft_pct,fta,drb,threep,ast_pct,stl,stl_pct,blk,sp
9.1,0.0,37.3,.667,0,12,+16,.738,42,7,LAL,.773,0,21,18.1,110,6,11,0,133,1,.667,1.8,Kobe Bryant,17.8,.429,15.1,.333,7,20130306,14,.786,14,7,3,62.5,0,0.0,1,2517.0
6.2,0.0,11.3,.286,1,1,+5,.286,5,4,LAL,.336,0,7,11.8,114,1,1,0,66,1,.143,0.0,Steve Nash,12.1,.000,-13.7,.143,1,20130306,2,1.000,1,4,0,3.9,0,0.0,0,2109.0
23.4,9.6,25.3,.563,5,0,+14,.563,20,15,LAL,.563,3,16,5.3,89,1,2,0,109,1,.250,8.6,Dwight Howard,36.6,0,3.4,.000,0,20130306,9,.500,4,12,0,0.0,3,4.3,4,2099.0
0.0,0.0,15.3,.444,5,0,+9,.611,11,0,LAL,.557,0,9,0.0,111,0,0,0,100,1,.222,0.0,Metta World Peace,0.0,.600,-3.0,.556,5,20130306,4,.000,2,0,3,0.0,2,3.3,0,1826.0
4.9,0.0,18.1,.000,0,3,-8,.000,5,2,LAL,.377,0,4,23.1,110,2,5,0,78,1,1.500,0.0,Earl Clark,9.5,.000,-5.3,.500,2,20130306,0,.833,6,2,0,16.9,1,2.2,0,1349.0
2.1,0.0,21.6,.545,1,1,+19,.773,19,1,LAL,.800,0,11,0.0,117,0,2,0,147,0,.182,0.0,Jodie Meeks,4.1,.556,8.8,.818,9,20130306,6,1.000,2,1,5,6.9,0,0.0,0,1556.0
7.2,9.8,12.4,.500,1,2,-14,.500,6,3,LAL,.500,2,6,0.0,110,0,0,0,124,0,.000,3.3,Antawn Jamison,4.7,.000,1.7,.333,2,20130306,3,0,0,1,0,13.2,1,2.2,1,1373.0
10.0,5.1,8.7,.000,2,7,-8,.000,0,4,LAL,.000,1,3,25.0,102,1,0,0,90,0,.000,0.0,Steve Blake,14.7,.000,0.0,.667,2,20130306,0,0,0,3,0,40.7,2,4.7,0,1304.0
0.0,0.0,10.6,.000,2,0,-3,.000,0,0,LAL,.000,0,1,0.0,118,0,0,0,0,0,.000,0.0,Robert Sacre,0.0,0,-24.6,.000,0,20130306,0,0,0,0,0,0.0,0,0.0,0,268.0
0,0,0,0,0,0,0,0,0,0,LAL,0,0,0,0,0,0,0,0,0,0,0,0,Chris Duhon,0,0,0,0,0,20130306,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,LAL,0,0,0,0,0,0,0,0,0,0,0,0,Devin Ebanks,0,0,0,0,0,20130306,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,LAL,0,0,0,0,0,0,0,0,0,0,0,0,Darius Morris,0,0,0,0,0,20130306,0,0,0,0,0,0,0,0,0,0.0
14.9,13.2,17.4,.308,3,0,-13,.308,13,11,NOH,.416,5,13,6.0,112,1,5,0,102,1,.462,4.8,Robin Lopez,16.6,0,-4.7,.000,0,20130306,4,.833,6,6,0,0.0,1,1.3,2,2420.0
7.1,2.8,22.3,.375,1,12,-18,.438,15,5,NOH,.456,1,16,19.6,120,4,1,0,103,1,.063,0.0,Greivis Vásquez,11.6,.400,-1.8,.313,5,20130306,6,1.000,1,4,2,48.9,0,0.0,0,2316.0
22.8,5.6,10.8,.571,5,1,-2,.571,12,16,NOH,.685,2,7,10.2,103,1,4,0,138,1,.571,7.5,Al-Farouq Aminu,40.9,0,5.7,.000,0,20130306,4,1.000,4,14,0,3.8,2,2.6,3,2294.0
8.7,3.4,34.9,.304,3,5,-7,.391,18,5,NOH,.391,1,23,11.5,116,3,0,0,87,1,.000,0.0,Eric Gordon,14.2,.400,-4.9,.435,10,20130306,7,0,0,4,4,28.0,1,1.6,0,1886.0
19.8,6.5,31.1,.625,2,1,+6,.625,13,6,NOH,.637,1,8,16.4,106,2,3,0,110,1,.625,11.6,Anthony Davis,33.8,0,6.5,.000,0,20130306,5,.600,5,5,0,12.4,0,0.0,2,992.0
9.0,11.8,18.4,.444,2,4,-4,.556,14,6,NOH,.651,4,9,31.7,118,5,4,0,106,0,.444,2.7,Ryan Anderson,6.2,.400,-0.3,.556,5,20130306,4,1.000,4,2,2,16.2,0,0.0,1,2173.0
0.0,0.0,11.2,.750,3,0,-7,.875,7,0,NOH,.875,0,4,20.0,121,1,0,0,123,0,.000,0.0,Roger Mason,0.0,.500,-4.0,.500,2,20130306,3,0,0,0,1,0.0,0,0.0,0,1125.0
7.1,6.9,16.5,.833,3,0,+16,.833,10,2,NOH,.833,1,6,0.0,112,0,0,0,167,0,.000,0.0,Austin Rivers,7.3,0,8.7,.000,0,20130306,5,0,0,1,0,0.0,1,3.3,0,921.0
20.3,0.0,31.4,.000,0,1,+1,.000,0,1,NOH,.000,0,2,0.0,116,0,0,0,34,0,.000,0.0,Brian Roberts,41.6,.000,-22.0,1.000,2,20130306,0,0,0,1,0,47.1,0,0.0,0,161.0
0.0,0.0,0.0,0,0,0,+1,0,0,0,NOH,0,0,0,0,122,0,0,0,0,0,0,0.0,Darius Miller,0.0,0,-6.6,0,0,20130306,0,0,0,0,0,0.0,0,0.0,0,80.0
0.0,0.0,0.0,0,1,0,-3,0,0,0,NOH,0,0,0,0,114,0,0,0,0,0,0,0.0,Lance Thomas,0.0,0,-40.0,0,0,20130306,0,0,0,0,0,0.0,0,0.0,0,33.0
0,0,0,0,0,0,0,0,0,0,NOH,0,0,0,0,0,0,0,0,0,0,0,0,Xavier Henry,0,0,0,0,0,20130306,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,NOH,0,0,0,0,0,0,0,0,0,0,0,0,Henry Sims,0,0,0,0,0,20130306,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,LAL,0,0,0,0,0,0,0,1,0,0,0,0,Pau Gasol,0,0,0,0,0,20130306,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,LAL,0,0,0,0,0,0,0,1,0,0,0,0,Jordan Hill,0,0,0,0,0,20130306,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,NOH,0,0,0,0,0,0,0,1,0,0,0,0,Jason Smith,0,0,0,0,0,20130306,0,0,0,0,0,0,0,0,0,0.0
