ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.214,14,1,1,2,0,.500,6.8,.653,7,.571,20120303,107,3,20,0,4.7,IND,3,16.4,.667,27.4,3,1782.0,0.0,.643,3,5.3,4,.500,0.0,2,1,Danny Granger,99,0,7,10.1,5.0,+21
.364,11,3,1,2,0,.545,19.8,.549,6,0,20120303,132,13,14,3,4.8,IND,10,0.0,.500,19.5,4,1740.0,0.0,.545,0,23.4,0,.000,11.3,2,1,David West,89,0,0,34.5,8.7,+11
1.500,4,2,1,4,1,.000,9.9,.301,0,0,20120303,105,10,4,6,5.0,IND,4,13.1,.667,12.2,6,1662.0,1.9,.000,1,18.8,0,.000,23.6,2,2,Roy Hibbert,93,0,0,14.4,-2.3,+22
.000,11,4,1,0,1,.545,29.2,.591,6,1.000,20120303,106,4,13,2,0.0,IND,2,21.4,0,23.0,0,1622.0,2.0,.591,3,7.7,1,.091,8.1,0,0,Darren Collison,100,0,1,7.4,2.1,+17
.400,10,3,1,4,5,.300,20.9,.468,3,.250,20120303,109,1,11,0,0.0,IND,1,7.8,1.000,23.8,4,1426.0,11.4,.350,1,2.2,1,.400,0.0,0,1,Paul George,81,0,4,4.2,10.3,+12
.000,5,3,0,0,0,.200,21.0,.300,1,.250,20120303,67,0,3,0,0.0,IND,0,28.6,0,14.8,0,1258.0,0.0,.300,2,0.0,1,.800,0.0,0,1,A.J. Price,107,0,4,0.0,-12.6,+1
.600,5,3,0,3,1,.600,24.5,.791,3,.500,20120303,149,4,10,0,0.0,IND,4,13.7,1.000,15.5,3,1256.0,2.6,.700,1,10.0,1,.400,0.0,0,2,George Hill,93,0,2,19.1,7.4,+17
.125,8,0,0,1,0,.375,0.0,.415,3,0,20120303,100,1,7,1,0.0,IND,0,0.0,1.000,21.8,1,1030.0,0.0,.375,0,3.0,0,.000,6.4,0,3,Tyler Hansbrough,106,0,0,0.0,-11.7,+16
1.400,5,1,0,5,0,.600,11.4,.681,3,0,20120303,104,10,11,1,8.6,IND,9,27.1,.714,30.6,7,966.0,0.0,.600,3,32.4,0,.000,6.8,2,1,Lou Amundson,77,0,0,55.9,6.3,-1
1.333,3,2,0,2,0,.667,21.4,.735,2,1.000,20120303,157,1,7,0,8.9,IND,1,0.0,.500,13.6,4,934.0,0.0,.833,0,3.4,1,.333,0.0,2,2,Dahntay Jones,97,0,1,6.4,12.3,-2
.000,4,0,0,0,0,.250,0.0,.250,1,0,20120303,86,2,2,2,0.0,IND,0,0.0,0,29.4,0,362.0,0.0,.250,0,17.3,0,.000,36.2,0,3,Jeff Ayres,104,0,0,0.0,-26.8,-12
0,0,2,0,0,0,0,45.5,0,0,0,20120303,226,0,0,0,0.0,IND,0,0,0,0.0,0,362.0,0.0,0,0,0.0,0,0,0.0,0,0,Lance Stephenson,107,0,0,0.0,4.3,-12
0,0,0,0,0,0,0,0,0,0,0,20120303,0,0,0,0,0,IND,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Jeff Foster,0,0,0,0,0,0
.250,16,2,1,1,0,.375,9.9,.422,6,.333,20120303,93,1,15,0,0.0,NOH,1,0.0,.250,21.7,4,2278.0,0.0,.438,0,1.4,2,.375,0.0,0,2,Marco Belinelli,121,0,6,2.9,-4.9,-9
.545,11,3,1,5,0,.545,16.6,.660,6,.500,20120303,112,4,18,0,2.2,NOH,4,18.0,.833,22.1,6,2105.0,0.0,.591,3,5.9,1,.182,0.0,1,3,Jarrett Jack,116,0,2,12.4,0.2,-31
.000,10,4,1,0,1,.500,23.0,.500,5,0,20120303,92,6,10,3,4.8,NOH,3,23.1,0,18.5,0,1957.0,1.7,.500,3,9.6,0,.000,9.2,2,4,Gustavo Ayón,112,0,0,10.0,0.3,-16
.000,15,3,1,0,0,.333,23.6,.333,5,0,20120303,65,6,10,2,6.1,NOH,4,21.1,0,34.2,0,1548.0,0.0,.333,4,12.1,0,.000,7.8,2,3,Chris Kaman,111,0,0,16.9,-9.7,-20
.000,5,3,1,0,1,.000,20.1,.000,0,0,20120303,42,6,0,2,0.0,NOH,4,16.7,0,12.8,0,1304.0,2.5,.000,1,14.4,0,.000,9.2,0,1,Al-Farouq Aminu,109,0,0,20.1,-7.3,-20
.091,11,2,0,0,1,.364,14.2,.393,4,.500,20120303,99,6,9,3,0.0,NOH,3,0.0,.000,20.2,1,1576.0,2.1,.409,0,11.9,1,.182,11.4,0,3,Xavier Henry,112,0,2,12.5,-0.5,+2
.333,6,2,0,2,0,.833,17.4,.872,5,0,20120303,158,9,12,4,0.0,NOH,5,12.7,1.000,15.3,2,1439.0,0.0,.833,1,19.6,0,.000,16.7,0,2,Solomon Jones,113,0,0,22.7,9.2,-6
.000,5,3,0,0,0,.200,20.3,.200,1,.000,20120303,58,2,2,0,0.0,NOH,2,16.7,0,12.2,0,1377.0,0.0,.200,1,4.5,0,.400,0.0,0,0,Greivis Vásquez,119,0,2,9.5,-12.7,+4
4.000,2,0,0,6,0,.500,0.0,.725,1,0,20120303,159,3,8,0,0.0,NOH,3,0.0,.750,18.9,8,816.0,0.0,.500,0,11.5,0,.000,0.0,0,3,Lance Thomas,111,0,0,24.1,2.0,+6
0,0,0,0,0,0,0,0,0,0,0,20120303,0,0,0,0,0,NOH,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Trevor Ariza,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20120303,0,0,0,0,0,NOH,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Carl Landry,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20120303,0,0,0,0,0,NOH,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Emeka Okafor,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20120303,0,0,0,0,0,NOH,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Jason Smith,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20120303,0,0,0,0,0,NOH,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Eric Gordon,0,1,0,0,0,0
