blk_pct,fg_pct,ast_pct,stl_pct,drtg,ast,pts,ft_pct,usg_pct,fg,trb,pm,ortg,tov,drb,date,sp,stl,player_name,fga,ft,inactive,threepar,blk,efg_pct,orb,threep,bpm,trb_pct,ts_pct,team_abbr,threepa,fta,ftr,starter,orb_pct,pf,threep_pct,tov_pct,drb_pct
0.0,.500,20.9,0.0,120,5,13,1.000,14.0,4,2,+1,123,2,2,20101128,2437.0,0,Andre Miller,8,5,0,.125,0,.500,0,0,-4.3,3.4,.637,POR,1,5,.625,1,0.0,1,.000,16.4,8.8
5.6,.353,15.0,1.5,111,3,20,.800,28.8,6,5,+4,103,2,3,20101128,2268.0,1,LaMarcus Aldridge,17,8,0,.000,2,.353,2,0,-1.5,9.2,.467,POR,0,10,.588,1,6.0,4,0,8.5,14.1
0.0,.563,26.2,1.6,117,4,21,.500,26.1,9,4,-6,117,2,2,20101128,2116.0,1,Brandon Roy,16,2,0,.063,0,.594,2,1,3.3,7.9,.591,POR,1,4,.250,1,6.5,3,1.000,10.1,10.1
8.2,.333,6.7,0.0,109,1,6,0,19.7,3,10,-6,71,2,8,20101128,1561.0,0,Marcus Camby,9,0,0,.000,2,.333,2,0,-9.4,26.7,.333,POR,0,0,.000,1,8.8,4,0,18.2,54.7
10.0,.000,13.7,2.6,105,2,2,.500,14.8,0,2,-6,55,2,1,20101128,1275.0,1,Nicolas Batum,3,2,0,.000,2,.000,1,0,-6.3,6.5,.210,POR,0,4,1.333,1,5.4,2,0,29.6,8.4
0.0,.643,6.8,3.2,112,1,25,1.000,21.5,9,4,+5,154,1,4,20101128,2060.0,2,Wesley Matthews,14,2,0,.429,0,.821,0,5,12.8,8.1,.840,POR,6,2,.143,0,0.0,5,.833,6.3,20.7
0.0,.250,0.0,2.2,115,0,3,.500,9.2,1,5,-1,106,0,1,20101128,1481.0,1,Dante Cunningham,4,1,0,.000,0,.250,4,0,-6.6,14.1,.307,POR,0,2,.500,0,18.5,3,0,0.0,7.2
0.0,.250,30.1,9.9,97,2,6,1.000,22.2,1,2,+6,140,0,2,20101128,668.0,2,Rudy Fernández,4,3,0,1.000,0,.375,0,1,20.0,12.5,.564,POR,4,3,.750,0,0.0,0,.250,0.0,31.9
0.0,.000,23.0,0.0,119,1,0,0,22.0,0,2,-2,38,1,1,20101128,380.0,0,Armon Johnson,2,0,0,.500,0,.000,1,0,-22.1,22.0,.000,POR,1,0,.000,0,18.0,1,.000,33.3,28.1
0.0,.000,0.0,0.0,121,0,0,0,18.0,0,0,-5,0,0,0,20101128,155.0,0,Luke Babbitt,1,0,0,.000,0,.000,0,0,-23.9,0.0,.000,POR,0,0,.000,0,0.0,0,0,0.0,0.0
