threepar,blk,ast,threepa,ft_pct,drb_pct,pts,date,player_name,threep,efg_pct,ast_pct,ft,drtg,fga,stl,tov_pct,stl_pct,fg_pct,inactive,fta,orb,sp,threep_pct,orb_pct,bpm,team_abbr,fg,tov,ts_pct,pf,starter,ftr,trb,ortg,drb,blk_pct,trb_pct,pm,usg_pct
.000,0,1,0,.571,39.9,26,20101225,Carlos Boozer,0,.440,4.1,4,103,25,1,20.0,1.1,.440,0,7,6,2537.0,0,12.4,-4.7,CHI,11,7,.463,5,1,.280,19,85,13,0.0,23.4,-13,33.0
.071,0,8,2,.333,15.7,25,20101225,Derrick Rose,0,.429,35.6,1,94,28,6,19.3,6.8,.429,0,3,2,2481.0,.000,4.2,4.9,CHI,12,7,.426,2,1,.107,7,84,5,0.0,8.8,-3,34.9
.333,0,2,4,1.000,12.8,15,20101225,Luol Deng,1,.458,6.9,4,109,12,0,17.9,0.0,.417,0,4,2,2432.0,.250,4.3,-2.1,CHI,5,3,.545,1,1,.333,6,103,4,0.0,7.7,-5,16.4
.000,2,1,0,0,9.8,4,20101225,Kurt Thomas,0,.400,5.0,0,91,5,3,44.4,5.3,.400,0,0,4,1596.0,0,13.1,-2.7,CHI,2,4,.400,5,1,.000,6,65,2,6.3,11.8,+3,13.4
1.000,0,0,3,0,16.3,3,20101225,Keith Bogans,1,.500,0.0,0,109,3,0,0.0,0.0,.333,0,0,0,954.0,.333,0.0,-3.7,CHI,1,0,.500,1,1,.000,2,114,2,0.0,6.6,-4,7.5
.000,1,1,0,.000,5.2,6,20101225,Ronnie Brewer,0,.600,5.7,0,98,5,2,0.0,3.8,.600,0,3,0,1489.0,0,0.0,2.6,CHI,3,0,.475,2,0,.600,1,102,1,3.4,2.1,-5,10.1
.667,0,1,4,.500,6.6,7,20101225,Kyle Korver,2,.500,6.9,1,110,6,0,0.0,0.0,.333,0,2,0,1184.0,.500,0.0,0.6,CHI,2,0,.509,0,0,.333,1,120,1,0.0,2.6,-1,13.9
.000,1,0,0,0,0.0,4,20101225,Taj Gibson,0,1.000,0.0,0,96,2,1,0.0,3.6,1.000,0,0,3,782.0,0,20.1,7.7,CHI,2,0,1.000,2,0,.000,3,202,0,6.5,12.0,-2,6.1
.200,0,1,1,1.000,0.0,5,20101225,C.J. Watson,0,.400,17.8,1,99,5,1,0.0,5.1,.400,0,1,0,549.0,.000,0.0,4.9,CHI,2,0,.460,1,0,.200,0,111,0,0.0,0.0,-5,23.6
0,1,0,0,0,59.0,0,20101225,Ömer Aşık,0,0,0.0,0,92,0,0,0,0.0,0,0,0,0,396.0,0,0.0,1.1,CHI,0,0,0,1,0,0,3,0,3,12.8,23.7,-5,0.0
