stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
2.7,5.1,1,2191.0,0,6,.375,.536,6,0,.833,.375,8,20,16,.375,6,8,2,1,+17,.500,.469,Paul George,26.3,6.3,5,IND,107,20160312,6.9,26.2,2,10,121,24.0,0.0,1,3,16.0
4.1,17.3,3,2191.0,1,7,.000,.594,7,0,1.000,.231,4,17,13,.538,3,5,3,1,+17,.308,.538,Monta Ellis,16.4,0.0,3,IND,104,20160312,4.2,32.0,0,5,112,21.1,2.1,3,0,8.0
1.4,14.5,3,2169.0,0,5,.429,.680,3,0,.750,.400,7,16,10,.500,4,3,1,1,0,.700,.650,George Hill,10.0,0.0,3,IND,113,20160312,0.4,12.7,0,3,119,17.0,0.0,2,3,4.9
1.6,11.4,5,1833.0,2,3,0,.644,1,0,1.000,.667,0,10,6,.500,4,3,1,1,+13,.000,.500,Ian Mahinmi,11.8,0.0,4,IND,107,20160312,-1.4,4.7,0,3,121,12.8,5.0,1,0,5.7
0.0,8.5,3,1159.0,1,5,1.000,.697,0,0,1.000,.444,1,15,9,.556,4,5,0,1,+12,.111,.611,Myles Turner,31.1,11.8,4,IND,109,20160312,3.5,0.0,2,7,133,27.1,3.9,1,1,21.2
4.2,29.4,2,1400.0,1,2,.500,.694,2,0,1.000,1.000,2,10,5,.400,5,1,2,0,-3,.400,.500,Rodney Stuckey,5.1,0.0,5,IND,104,20160312,2.2,12.1,0,1,105,19.5,3.3,3,1,2.5
0.0,0.0,2,1247.0,0,4,.000,.500,2,0,0,.000,2,8,8,.500,0,5,0,0,-2,.250,.500,Solomon Hill,28.9,11.0,0,IND,113,20160312,-0.6,16.1,2,7,121,17.1,0.0,0,0,19.7
2.9,19.4,2,1014.0,0,4,0,.661,1,0,1.000,.429,0,11,7,.571,3,1,1,0,-8,.000,.571,Jordan Hill,7.1,13.5,3,IND,110,20160312,0.2,10.7,2,3,116,27.2,0.0,2,0,10.4
0.0,16.7,1,689.0,1,1,.250,.300,0,0,0,.000,4,3,5,.200,0,0,0,0,-10,.800,.300,C.J. Miles,0.0,0.0,0,IND,111,20160312,-13.6,0.0,0,0,51,23.3,6.6,1,1,0.0
0.0,0.0,3,506.0,0,1,0,.500,2,0,0,.000,0,2,2,.500,0,2,0,0,-1,.000,.500,Lavoy Allen,28.5,13.6,0,IND,113,20160312,2.5,35.2,1,3,146,10.6,0.0,0,0,20.8
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glenn Robinson,0,0,0,IND,0,20160312,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ty Lawson,0,0,0,IND,0,20160312,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joe Young,0,0,0,IND,0,20160312,0,0,0,0,0,0,0,0,0,0
1.2,7.1,4,2447.0,0,5,.667,.462,5,0,0,.000,3,12,13,.385,0,5,1,1,-8,.231,.462,Chandler Parsons,14.0,0.0,0,DAL,117,20160312,-2.7,16.8,0,5,97,15.6,0.0,1,2,7.2
2.8,13.3,1,2150.0,0,7,.250,.577,6,0,0,.000,4,15,13,.538,0,5,2,1,-8,.308,.577,Wesley Matthews,15.9,0.0,0,DAL,113,20160312,3.9,25.4,0,5,107,19.0,0.0,2,1,8.2
