stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
1.5,10.1,1,2139.0,1,3,.400,.563,3,0,1.000,.250,5,10,8,.375,2,4,1,1,+13,.625,.500,Shane Battier,11.2,0.0,2,HOU,110,20081220,0.0,11.6,0,4,112,14.0,1.8,1,2,6.6
0.0,19.0,5,2122.0,2,9,0,.529,3,0,0,.000,0,18,17,.529,0,3,0,1,+12,.000,.529,Yao Ming,8.5,4.1,0,HOU,111,20081220,-9.2,15.2,1,4,90,29.9,3.6,4,0,6.7
1.5,4.7,0,2027.0,1,8,.400,.569,5,0,1.000,.278,5,23,18,.444,5,5,1,1,+4,.278,.500,Tracy McGrady,14.8,0.0,5,HOU,109,20081220,2.8,25.7,0,5,118,31.6,1.9,1,2,8.8
0.0,16.0,0,1867.0,0,4,.500,.856,5,0,.875,1.143,6,18,7,.571,8,10,0,1,-2,.857,.786,Aaron Brooks,32.1,0.0,7,HOU,108,20081220,7.0,23.5,0,10,150,20.3,0.0,2,3,19.0
0.0,0.0,4,823.0,0,1,0,.798,2,0,.500,2.000,0,3,1,1.000,2,3,0,1,+8,.000,1.000,Luis Scola,21.9,10.6,1,HOU,109,20081220,0.1,19.7,1,4,189,6.9,0.0,0,0,17.3
4.8,6.7,3,1927.0,0,7,.600,.684,4,0,1.000,.154,5,19,13,.538,2,0,3,0,-2,.385,.654,Metta World Peace,0.0,4.5,2,HOU,107,20081220,7.2,20.9,1,1,134,23.4,0.0,1,3,1.8
2.0,33.3,4,1577.0,0,1,0,.500,0,0,0,.000,0,2,2,.500,0,9,1,0,+6,.000,.500,Chuck Hayes,34.2,5.5,0,HOU,103,20081220,-5.1,0.0,1,10,83,5.8,0.0,1,0,22.5
0.0,0.0,2,1115.0,0,6,1.000,1.015,3,0,1.000,.286,2,16,7,.857,2,0,0,0,+5,.286,1.000,Luther Head,0.0,7.8,2,HOU,117,20081220,16.5,33.0,1,1,204,21.4,0.0,0,2,3.2
0.0,66.7,3,803.0,0,0,0,.000,1,0,0,.000,0,0,1,.000,0,2,0,0,-9,.000,.000,Carl Landry,14.9,0.0,0,HOU,112,20081220,-17.9,9.2,0,2,22,11.3,0.0,2,0,8.9
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Von Wafer,0,0,0,HOU,0,20081220,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steve Francis,0,0,0,HOU,0,20081220,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joey Dorsey,0,0,0,HOU,0,20081220,0,0,0,0,0,0,0,0,0,0
2.3,10.9,1,2678.0,3,15,0,.519,4,0,1.000,.129,0,34,31,.484,4,7,2,1,+4,.000,.484,Al Jefferson,22.8,13.4,4,MIN,111,20081220,6.7,18.0,6,13,106,35.7,6.3,4,0,17.3
3.0,0.0,2,2091.0,0,5,0,.658,1,0,.667,.750,0,14,8,.625,6,3,2,1,-13,.000,.625,Craig Smith,12.5,2.9,4,MIN,116,20081220,2.6,4.2,1,4,142,13.2,0.0,0,0,6.8
0.0,4.5,3,1984.0,0,11,.400,.560,3,0,.000,.048,5,24,21,.524,1,6,0,1,0,.238,.571,Randy Foye,26.4,0.0,0,MIN,122,20081220,2.6,18.1,0,6,113,29.4,0.0,1,2,10.8
0.0,0.0,3,1819.0,0,2,.250,.318,1,0,1.000,.111,4,6,9,.222,1,2,0,1,-2,.444,.278,Ryan Gomes,9.6,0.0,1,MIN,124,20081220,-10.3,4.3,0,2,77,13.5,0.0,0,1,3.9
0.0,0.0,0,316.0,0,1,1.000,.500,2,0,0,.000,1,3,3,.333,0,2,0,1,-4,.333,.500,Mike Miller,55.2,0.0,0,MIN,118,20081220,19.3,59.0,0,2,130,24.7,0.0,0,1,22.5
1.3,10.5,3,2349.0,0,5,.333,.472,4,0,.556,.692,3,16,13,.385,9,4,1,0,-8,.231,.423,Rashad McCants,14.9,2.6,5,MIN,120,20081220,-3.0,14.5,1,5,99,21.0,0.0,2,1,7.6
1.7,17.4,3,1793.0,0,1,0,.525,2,0,.750,1.333,0,5,3,.333,4,2,1,0,+4,.000,.333,Kevin Ollie,9.7,0.0,3,MIN,120,20081220,-6.5,8.4,0,2,103,8.3,0.0,1,0,4.0
0.0,0.0,0,576.0,0,0,0,.000,0,0,.000,0,0,0,0,0,2,1,0,0,+5,0,0,Mark Madsen,15.2,20.8,0,MIN,123,20081220,-6.1,0.0,2,3,92,4.0,0.0,0,0,18.5
0.0,50.0,0,415.0,0,0,0,.000,1,0,0,.000,0,0,1,.000,0,0,0,0,-10,.000,.000,Kevin Love,0.0,28.9,0,MIN,125,20081220,-10.5,17.3,2,2,69,12.5,0.0,1,0,17.1
