stl_pct,tov_pct,pf,sp,blk,fg,threep_pct,ts_pct,ast,inactive,ft_pct,ftr,threepa,pts,fga,fg_pct,fta,drb,stl,starter,pm,threepar,efg_pct,player_name,drb_pct,orb_pct,ft,team_abbr,drtg,date,bpm,ast_pct,orb,trb,ortg,usg_pct,blk_pct,tov,threep,trb_pct
0.0,10.1,6,2402.0,0,5,0,.619,1,0,.500,.250,0,11,8,.625,2,8,0,1,-6,.000,.625,Andrew Bogut,26.6,3.2,1,MIL,98,20081231,-0.1,4.6,1,9,112,12.6,0.0,1,0,14.6
1.5,24.1,3,2212.0,0,6,.000,.508,2,0,1.000,.286,3,16,14,.429,4,5,1,1,-8,.214,.429,Richard Jefferson,18.1,0.0,4,MIL,97,20081231,-3.9,10.8,0,5,79,28.7,0.0,5,0,8.8
1.6,0.0,4,2061.0,1,5,.200,.458,11,0,0,.000,5,11,12,.417,0,6,1,1,+11,.417,.458,Luke Ridnour,23.3,3.7,0,MIL,94,20081231,12.0,61.5,1,7,122,17.8,2.6,0,1,13.2
0.0,16.1,0,1885.0,0,7,.333,.639,2,0,.833,.462,3,20,13,.538,6,2,0,1,+7,.231,.577,Michael Redd,8.5,4.0,5,MIL,103,20081231,5.8,14.3,1,3,109,30.2,0.0,3,1,6.2
5.9,33.3,4,1114.0,1,0,0,.000,0,0,0,.000,0,0,2,.000,0,0,2,1,+5,.000,.000,Luc Mbah a Moute,0.0,0.0,0,MIL,88,20081231,-4.9,0.0,0,0,0,8.2,4.8,1,0,0.0
0.0,30.8,3,1866.0,0,6,.750,.833,1,0,0,.000,4,15,9,.667,0,4,0,0,-6,.444,.833,Charlie Bell,17.1,0.0,0,MIL,100,20081231,2.8,6.8,0,4,98,21.3,0.0,4,3,8.3
0.0,12.7,4,843.0,0,0,0,.073,0,0,.500,.333,0,1,6,.000,2,2,0,0,-11,.000,.000,Charlie Villanueva,19.0,18.0,1,MIL,99,20081231,-25.9,0.0,2,4,31,28.6,0.0,1,0,18.5
0.0,20.0,0,685.0,0,2,.333,.625,1,0,0,.000,3,5,4,.500,0,0,0,0,-6,.750,.625,Tyronn Lue,0.0,0.0,0,MIL,105,20081231,3.0,17.8,0,0,97,22.3,0.0,1,1,0.0
0.0,0.0,0,600.0,0,1,0,.333,1,0,0,.000,0,2,3,.333,0,0,0,0,-5,.000,.333,Ramon Sessions,0.0,0.0,0,MIL,105,20081231,-4.4,17.6,0,0,80,15.3,0.0,0,0,0.0
0.0,0,1,441.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,+3,0,0,Dan Gadzuric,36.3,0.0,0,MIL,96,20081231,-2.0,0.0,0,2,0,0.0,0.0,0,0,17.7
0.0,100.0,0,291.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,Francisco Elson,0.0,0.0,0,MIL,105,20081231,-12.5,0.0,0,0,0,10.5,0.0,1,0,0.0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joe Alexander,0,0,0,MIL,0,20081231,0,0,0,0,0,0,0,0,0,0
1.3,0.0,0,2468.0,0,3,.333,.322,10,0,.000,.200,3,7,10,.300,2,2,1,1,-2,.300,.350,Tracy McGrady,6.1,0.0,0,HOU,97,20081231,2.3,44.0,0,2,97,13.1,0.0,0,1,3.2
0.0,17.9,1,2440.0,0,2,.000,.291,1,0,1.000,.333,5,8,12,.167,4,5,0,1,-1,.417,.167,Aaron Brooks,15.5,0.0,4,HOU,99,20081231,-13.1,4.3,0,5,54,20.4,0.0,3,0,8.0
1.6,17.0,1,2008.0,0,2,.200,.410,3,0,.750,.500,5,8,8,.250,4,3,1,1,-7,.625,.313,Rafer Alston,11.3,0.0,3,HOU,96,20081231,-4.4,15.9,0,3,80,17.4,0.0,2,1,5.8
3.4,18.6,5,1960.0,0,4,0,.628,2,0,.750,.571,0,11,7,.571,4,9,2,1,+5,.000,.571,Luis Scola,34.8,4.1,3,HOU,88,20081231,3.1,12.2,1,10,109,16.3,0.0,2,0,19.9
0.0,4.8,5,1843.0,1,9,0,.557,2,0,1.000,.222,0,22,18,.500,4,8,0,1,-8,.000,.500,Yao Ming,32.9,8.7,4,HOU,93,20081231,7.4,19.6,2,10,113,33.5,2.9,1,0,21.1
5.3,6.4,1,1880.0,0,5,.333,.512,0,0,.500,.500,6,15,12,.417,6,4,3,0,+10,.500,.500,Metta World Peace,16.1,4.3,3,HOU,87,20081231,6.1,0.0,1,5,98,24.8,0.0,1,2,10.4
4.8,19.6,3,1366.0,0,5,0,.854,0,0,.800,.833,0,14,6,.833,5,1,2,0,+18,.000,.833,Carl Landry,5.5,17.6,4,HOU,90,20081231,9.3,0.0,3,4,137,22.2,0.0,2,0,11.4
15.2,0,0,434.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,+5,0,0,Brent Barry,17.5,0.0,0,HOU,66,20081231,14.0,0.0,0,1,0,0.0,0.0,0,0,9.0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Von Wafer,0,0,0,HOU,0,20081231,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luther Head,0,0,0,HOU,0,20081231,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chuck Hayes,0,0,0,HOU,0,20081231,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shane Battier,0,0,0,HOU,0,20081231,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Malik Allen,0,0,0,MIL,0,20081231,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Austin Croshere,0,0,0,MIL,0,20081231,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Damon Jones,0,0,0,MIL,0,20081231,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Joey Dorsey,0,0,0,HOU,0,20081231,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Dikembe Mutombo,0,0,0,HOU,0,20081231,0,0,0,0,0,0,0,0,0,0
